query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.39200293200000047
2,ming,59463,11,True,33.61265015
3,ming,3,2,True,0.03011188400000009
4,ming,3315354,15,True,593.878853747
5,ming,3,2,True,0.019617207999999664
6,ming,7,6,True,0.06470354100008535
7,ming,7270,7,True,5.47444787400002
8,ming,9,8,True,0.307980341000075
9,ming,3315191,15,True,605.9806284599999
10,ming,2,1,True,0.008080466000137676
11,ming,3,2,True,0.007325515000047744
12,ming,555956,7,True,205.12753459100009
13,ming,8196524,3,True,2900.6131466369998
14,ming,5,4,True,0.09793395799988502
15,ming,6,5,True,0.04101220500069758
16,ming,751,15,True,1.3360078559999238
17,ming,3,2,True,0.00637743999959639
18,ming,57214,5,True,18.20310640199932
19,ming,2,1,True,0.004346168999290967
20,ming,2,1,True,0.003423412999836728
21,ming,2,1,True,0.007283903000825376
22,ming,275156,2,True,67.61976207899988
23,ming,339402,15,True,81.04845771600048
24,ming,3,2,True,0.019394896999983757
25,ming,2,1,True,0.009792396000193548
26,ming,2,1,True,0.018349560999922687
27,ming,3,2,True,0.012287778999962029
28,ming,1653445,15,True,632.4564012199999
29,ming,2,1,True,0.007331009999688831
30,ming,3,2,True,0.010837961000106588
31,ming,5,4,True,0.042043110999657074
32,ming,2876994,10,True,708.2924253210003
33,ming,57,15,True,0.48967489499955263
34,ming,9,8,True,0.1248580210003638
35,ming,3887720,15,True,1008.2337600599994
36,ming,243383,0,False,101.63816062299975
37,ming,312353,15,True,134.5877088339994
38,ming,3,2,True,0.011201751999578846
39,ming,2,1,True,0.007345832999817503
40,ming,3,2,True,0.008815266000055999
41,ming,3,2,True,0.019699173999470077
42,ming,3,2,True,0.008531313000275986
43,ming,3,2,True,0.022928658999262552
44,ming,6,5,True,0.07794583000031707
45,ming,2,1,True,0.016073021000011067
46,ming,3,2,True,0.04741669000031834
47,ming,1506099,15,True,568.3957345079998
48,ming,2,1,True,0.009994548000577197
49,ming,2,1,True,0.02630047000002378
50,ming,222395,2,True,74.78476686800059
51,ming,2,1,True,0.016271704000246245
52,ming,5,4,True,0.06356658799995785
53,ming,3,2,True,0.009672526999565889
54,ming,3,2,True,0.00704638499973953
55,ming,3,2,True,0.008747801000026811
56,ming,10000000,0,False,3116.732238609
57,ming,18,15,True,0.0707906389998243
58,ming,3,2,True,0.018716749998930027
59,ming,3,2,True,0.008373796999876504
60,ming,50002,3,True,23.56957769499968
61,ming,7,6,True,0.11809428699962154
62,ming,275156,2,True,66.84325995000108
63,ming,6,5,True,0.044578574001207016
64,ming,4,3,True,0.050408343000526656
65,ming,5,4,True,0.08433615900139557
66,ming,3,2,True,0.010739363999164198
67,ming,7,6,True,0.09439000299971667
68,ming,6,5,True,0.08793746999981522
69,ming,2071208,0,False,842.3241125069999
70,ming,4,3,True,0.028618189000553684
71,ming,4,3,True,0.015236715000355616
72,ming,2,1,True,0.006921121001141728
73,ming,597853,7,True,284.9867628289994
74,ming,3,2,True,0.00830028900054458
75,ming,2,1,True,0.0028497830007836455
76,ming,2,1,True,0.019156397000188008
77,ming,3,2,True,0.0226386710000952
78,ming,3,2,True,0.01970974399955594
79,ming,3,2,True,0.035993810999570997
80,ming,3,2,True,0.02464383999904385
81,ming,4570623,15,True,1086.0905539899995
82,ming,171499,10,True,70.98735657100042
83,ming,2,1,True,0.00993923799978802
84,ming,1197535,15,True,391.01704389800034
85,ming,3,2,True,0.00663025900030334
86,ming,4,2,True,0.012489894999816897
87,ming,2,1,True,0.008854875999531941
88,ming,2,1,True,0.015915319998384803
89,ming,2,1,True,0.003355524999278714
90,ming,721061,4,True,248.1894147969997
91,ming,606891,15,True,350.6474942780005
92,ming,2346,15,True,3.39783872299995
93,ming,4,3,True,0.01775286900010542
94,ming,7962279,15,True,2661.4508142259983
95,ming,2,1,True,0.003304592999484157
96,ming,7817245,15,True,3149.838179227998
97,ming,6015,15,True,2.8605598799986183
98,ming,2,1,True,0.02017517000058433
99,ming,2,1,True,0.018186072000389686
100,ming,2,1,True,0.019140779000736075
