query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.0005512149999997717
2,std,10000000,0,False,1026.206063757
3,std,4,2,True,0.0011650379999537108
4,std,10000000,0,False,899.7896345439999
5,std,3,2,True,0.000817477000055078
6,std,6462507,8,True,462.0577188699997
7,std,6441343,7,True,495.9958359960001
8,std,10000000,0,False,780.2236543020003
9,std,10000000,0,False,774.6806910589994
10,std,2,1,True,0.00042988900077034486
11,std,10000000,0,False,764.3255333449997
12,std,131898,7,True,8.805956641000193
13,std,10000000,0,False,679.9557030819997
14,std,10000000,0,False,908.4665701180002
15,std,13,5,True,0.0030425670001932303
16,std,10000000,0,False,938.627327225
17,std,10000000,0,False,967.3893756440002
18,std,10000000,0,False,748.9787859849985
19,std,2,1,True,0.00032302299950970337
20,std,2,1,True,0.0004710299999715062
21,std,2,1,True,0.00040408199856756255
22,std,6,2,True,0.0011921329987671925
23,std,10000000,0,False,923.8861879979995
24,std,3,2,True,0.00067827299972123
25,std,2,1,True,0.000533911001184606
26,std,2,1,True,0.00045550300092145335
27,std,10000000,0,False,734.9377698039989
28,std,10000000,0,False,802.5030250979999
29,std,2,1,True,0.000471913999717799
30,std,10000000,0,False,694.571886542999
31,std,10000000,0,False,687.2392235200005
32,std,10000000,0,False,760.0949883429985
33,std,10000000,0,False,757.7578973749987
34,std,10000000,0,False,751.2142017580009
35,std,1245773,5,True,89.57741338899905
36,std,10000000,0,False,773.6645303019995
37,std,10000000,0,False,741.6934261239985
38,std,10000000,0,False,860.6482598189978
39,std,2,1,True,0.0003957980006816797
40,std,3,2,True,0.0006067870017432142
41,std,3,2,True,0.0006481150012405124
42,std,10000000,0,False,705.9515171780004
43,std,3,2,True,0.0007607840016135015
44,std,10000000,0,False,719.2253855059971
45,std,2,1,True,0.0004307180024625268
46,std,3,2,True,0.0007688939986110199
47,std,504,11,True,0.047216951999871526
48,std,2,1,True,0.000581169002543902
49,std,2,1,True,0.0005882479999854695
50,std,3,2,True,0.0005517130011867266
51,std,2,1,True,0.00035382399801164865
52,std,18,6,True,0.0040051720025076065
53,std,10000000,0,False,695.0705782709992
54,std,3,2,True,0.0006118620003690012
55,std,10000000,0,False,720.3090322589997
56,std,10000000,0,False,824.0858880000014
57,std,10000000,0,False,872.6845611420031
58,std,3,2,True,0.0006660770013695583
59,std,10000000,0,False,705.2657366310013
60,std,10000000,0,False,885.089636749999
61,std,2151630,10,True,130.04820140599986
62,std,6,2,True,0.00126427400027751
63,std,6,5,True,0.0012145000000600703
64,std,10000000,0,False,811.4822150139989
65,std,10000000,0,False,786.229450453
66,std,10000000,0,False,843.9191022829982
67,std,10000000,0,False,684.9299117030023
68,std,6,5,True,0.0018377200030954555
69,std,10000000,0,False,791.6030792769998
70,std,4,3,True,0.000981386998319067
71,std,4,3,True,0.0008484459976898506
72,std,2,1,True,0.000313504999212455
73,std,10000000,0,False,794.2544827340025
74,std,10000000,0,False,716.4701103669977
75,std,2,1,True,0.00038044699977035634
76,std,2,1,True,0.00045315700117498636
77,std,10000000,0,False,863.3655256229977
78,std,3,2,True,0.0007150569981604349
79,std,3,2,True,0.0007221449995995499
80,std,10000000,0,False,719.149651724998
81,std,9092974,10,True,679.8596562179991
82,std,10000000,0,False,779.7367260170031
83,std,2,1,True,0.0005760069980169646
84,std,10000000,0,False,798.9638775049971
85,std,3,2,True,0.0006084880005801097
86,std,10000000,0,False,765.7313770539986
87,std,2,1,True,0.0005969769990770146
88,std,2,1,True,0.0004091500013601035
89,std,2,1,True,0.0004844860013690777
90,std,5,4,True,0.0014851730011287145
91,std,10000000,0,False,955.9377306449969
92,std,9,8,True,0.002031748001172673
93,std,10000000,0,False,780.2761016970035
94,std,10000000,0,False,831.3296210409972
95,std,2,1,True,0.00048774499737191945
96,std,10000000,0,False,763.984839910001
97,std,10000000,0,False,847.5759184919953
98,std,2,1,True,0.00048472599883098155
99,std,2,1,True,0.0004526170014287345
100,std,2,1,True,0.00047882400394883007
